,title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Written by,Production companies,Story by
45,Thor: Ragnarok,Taika Waititi,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",Javier Aguirresarobe,"['Joel Negron', 'Zene Baker']",Mark Mothersbaugh,Marvel Studios,Walt Disney Studios Motion Pictures,"['October 10, 2017 ( El Capitan Theatre )', 'November 3, 2017 (United States)']",130 minutes,United States,English,$180 million,$854 million,"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost']",,
46,Black Panther,Ryan Coogler,,"['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Rachel Morrison,"['Michael P. Shawver', 'Debbie Berman']",Ludwig Göransson,Marvel Studios,Walt Disney Studios Motion Pictures,"['January 29, 2018 ( Dolby Theatre )', 'February 16, 2018 (United States)']",134 minutes,United States,English,$200 million,$1.348 billion,"['Ryan Coogler', 'Joe Robert Cole']",,
47,Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldaña', 'Josh Brolin', 'Chris Pratt']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,Walt Disney Studios Motion Pictures,"['April 23, 2018 ( Dolby Theatre )', 'April 27, 2018 (United States)']",149 minutes,United States,English,$325–400 million,$2.048 billion,,,
48,Ant-Man and the Wasp,Peyton Reed,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Kevin Feige', 'Stephen Broussard']","['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'Tip ""T.I."" Harris', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson', 'Randall Park', 'Michelle Pfeiffer', 'Laurence Fishburne', 'Michael Douglas']",Dante Spinotti,"['Dan Lebental', 'Craig Wood']",Christophe Beck,Marvel Studios,Walt Disney Studios Motion Pictures,"['June 25, 2018 ( El Capitan Theatre )', 'July 6, 2018 (United States)']",118 minutes,United States,English,$130–195 million,$622.7 million,"['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer', 'Gabriel Ferrari']",,
49,Captain Marvel,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']",Marvel Comics,Kevin Feige,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']",Ben Davis,"['Elliot Graham', 'Debbie Berman']",Pinar Toprak,Marvel Studios,Walt Disney Studios Motion Pictures,"['February 27, 2019 (London)', 'March 8, 2019 (United States)']",124 minutes,United States,English,$152–175 million,$1.128 billion,,,"['Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']"
50,Avengers: Endgame,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,Walt Disney Studios Motion Pictures,"['April 22, 2019 ( Los Angeles Convention Center )', 'April 26, 2019 (United States)']",181 minutes,United States,English,$356–400 million,$2.798 billion,,,
51,Spider-Man: Far From Home,Jon Watts,,"['Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Samuel L. Jackson', 'Zendaya', 'Cobie Smulders', 'Jon Favreau', 'J. B. Smoove', 'Jacob Batalon', 'Martin Starr', 'Marisa Tomei', 'Jake Gyllenhaal']",Matthew J. Lloyd,"['Dan Lebental', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,"['June 26, 2019 ( TCL Chinese Theatre )', 'July 2, 2019 (United States)']",129 minutes,United States,English,$160 million,$1.132 billion,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",
52,Black Widow,Cate Shortland,Eric Pearson,Marvel Comics,Kevin Feige,"['Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'O-T Fagbenle', 'Olga Kurylenko', 'William Hurt', 'Ray Winstone', 'Rachel Weisz']",Gabriel Beristain,"['Leigh Folsom Boyd', 'Matthew Schmidt']",Lorne Balfe,Marvel Studios,Walt Disney Studios Motion Pictures,"['June 29, 2021 ( Melbourne )', 'July 9, 2021 (United States)']",134 minutes,United States,English,$200 million,$379.8 million,,,"['Jac Schaeffer', 'Ned Benson']"
53,Shang-Chi and the Legendof the Ten Rings,Destin Daniel Cretton,"['Dave Callaham', 'Destin Daniel Cretton', 'Andrew Lanham']",Marvel Comics,"['Kevin Feige', 'Jonathan Schwartz']","['Simu Liu', 'Awkwafina', ""Meng'er Zhang"", 'Fala Chen', 'Florian Munteanu', 'Benedict Wong', 'Michelle Yeoh', 'Ben Kingsley', 'Tony Leung']",William Pope,"['Nat Sanders', 'Elísabet Ronaldsdóttir', 'Harry Yoon']",Joel P. West,Marvel Studios,Walt Disney Studios Motion Pictures,"['August 16, 2021 (Los Angeles)', 'September 3, 2021 (United States)']",132 minutes,United States,English,$150–200 million,$432.2 million,,,"['Dave Callaham', 'Destin Daniel Cretton']"
54,Eternals,Chloé Zhao,"['Chloé Zhao', 'Patrick Burleigh', 'Ryan Firpo', 'Kaz Firpo']",Eternals by Jack Kirby,"['Kevin Feige', 'Nate Moore']","['Gemma Chan', 'Richard Madden', 'Kumail Nanjiani', 'Lia McHugh', 'Brian Tyree Henry', 'Lauren Ridloff', 'Barry Keoghan', 'Don Lee', 'Harish Patel', 'Kit Harington', 'Salma Hayek', 'Angelina Jolie']",Ben Davis,"['Craig Wood', 'Dylan Tichenor']",Ramin Djawadi,Marvel Studios,Walt Disney Studios Motion Pictures,"['October 18, 2021 ( Dolby Theatre )', 'November 5, 2021 (United States)']",156 minutes,United States,English,$200 million,$402.1 million,,,"['Ryan Firpo', 'Kaz Firpo']"
55,Spider-Man: No Way Home,Jon Watts,,"['Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire']",Mauro Fiore,"['Jeffrey Ford', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,"['December 13, 2021 ( Fox Village Theatre )', 'December 17, 2021 (United States)']",148 minutes,United States,English,$200 million,$1.920 billion,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",
